Facility Name,Company,Facility Type,Facility Detail,Capacity,Railroads,Port,Car Spot,latitude,longitude
Baltimore North,Petroleum Fuel And Terminal Company,Petroleum Terminal,,,,,,39.305458,-76.55728
Albany,Petroleum Fuel And Terminal Company,Petroleum Terminal,,,,,,42.627315,-73.748978
Baltimore South,Petroleum Fuel And Terminal Company,Petroleum Terminal,,,,,,39.273791,-76.569151
Chicago,Petroleum Fuel And Terminal Company,Petroleum Terminal,,,,,,41.805784,-87.80192
Mt Airy,Apex Oil Company Inc,Petroleum Terminal,,,,,,30.05498,-90.64663
Baltimore West,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,39.241289,-76.576573
Chesapeake,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,36.804807,-76.28533
Gates,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,43.164687,-77.678222
Glenmont,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,42.607585,-73.769099
Memphis,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,35.114569,-90.074248
North Little Rock,Petroleum Fuels & Terminal Co,Petroleum Terminal,,,,,,34.749777,-92.232319
Granite City,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,38.715568,-90.166656
Baton Rouge,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,30.4506,-91.1544
Pine Bluff,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,34.257305,-91.942631
St Louis,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,38.641999,-90.181965
Jacksonville North,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,30.357816,-81.626751
Weirton,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,40.390685,-80.628944
Chickasaw,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,30.76802,-88.059725
Blakeley Island,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,30.632299,-88.154324
Greensboro,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,36.078616,-79.925164
Salisbury,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,38.359939,-75.620959
Newark,Petroleum Fuel & Terminal Co,Petroleum Terminal,,,,,,40.711055,-74.131437
Savannah,Colonial Terminals Inc,Petroleum Terminal,,,,,,32.094041,-81.11224
Wilmington,Cti Of North Carolina Inc,Petroleum Terminal,,,,,,34.22196,-77.947329
Cti Wahlstrom Terminal Inc,Cti Wahlstrom Terminal Inc,Petroleum Terminal,,,,,,32.071313,-81.054142
Cti Foundation Terminal,Cti Foundation Terminal Inc,Petroleum Terminal,,,,,,32.073183,-81.053343
Vicksburg,Ergon Refining Inc,Petroleum Terminal,,,,,,32.391613,-90.891302
Wv Fuel Terminal Hugheston Wv,Ergon West Virginia Inc,Petroleum Terminal,,,,,,38.210593,-81.374521
Memphis,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,35.09173,-90.1111
Nashville,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,36.160874,-86.734391
Birmingport,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,33.560672,-87.107981
Wolcott,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,39.201764,-94.822744
Mt Pleasant,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,33.13124,-94.97396
Pleasanton,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,28.966925,-98.478921
Yellow Creek,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,34.975737,-88.240143
Austin Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,30.377216,-97.737299
Catoosa Em Plant,Ergon Asphalt & Emulsions,Petroleum Terminal,,,,,,36.241442,-95.743913
Dodge City Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,37.750562,-99.942566
El Dorado Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,37.810133,-96.834765
Ennis Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,32.356346,-96.64244
Fontana Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,34.06293,-117.47941
Halstead Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,38.00414,-97.52148
Las Vegas T2 Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,36.01688,-115.23436
Lawton Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,34.60236,-98.50481
Little Rock Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,34.67861,-92.26505
Parsons Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,35.62824,-88.03556
Salina Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,38.85257,-97.6204
Corp Christi Plant,Ergon Asphalt And Emulsions,Petroleum Terminal,,,,,,27.817538,-97.496799
Garden City Plant,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,32.10522,-81.13382
Saginaw,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,32.871243,-97.365542
Lubbock,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,33.5778,-101.855
Cheyenne,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,41.12303,-104.7551
Boise,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,43.563492,-116.183449
Pasco,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,46.327565,-119.12006
Hillyard,Ergon Asphalt 7 Emulsions Inc,Petroleum Terminal,,,,,,47.697483,-117.361133
Spokane Valley,Ergon Asphalt & Emulsions Inc,Petroleum Terminal,,,,,,47.68278,-117.17835
Denver-C,Bkep Materials Llc,Petroleum Terminal,,,,,,39.80392,-104.936281
Gloucester City Nj,Bkep Materials Llc,Petroleum Terminal,,,,,,39.89551,-75.12803
Grand Island Ne,Bkep Materials Llc,Petroleum Terminal,,,,,,40.975865,-98.323098
Grand Jct Plant,Bkep Materials Llc,Petroleum Terminal,,,,,,39.060183,-108.568314
Memphis,Bkep Materials Llc,Petroleum Terminal,,,,,,35.104128,-90.096456
Newport News Va,Bkep Materials Llc,Petroleum Terminal,,,,,,36.969948,-76.417404
Pueblo Co,Bkep Materials Llc,Petroleum Terminal,,,,,,38.267163,-104.618579
Dumfries,Bkep Materials Llc,Petroleum Terminal,,,,,,38.559555,-77.265047
Wilmington,Bkep Materials Llc,Petroleum Terminal,,,,,,34.18201,-77.95074
St Louis Mo,Bkep Materials Llc,Petroleum Terminal,,,,,,38.549995,-90.253354
Bainbridge,Bkep Materials Llc,Petroleum Terminal,,,,,,30.897058,-84.613573
Catoosa Ac,Bkep Materials Llc,Petroleum Terminal,,,,,,36.171971,-95.621277
Catoosa Port 33,Bkep Materials Llc,Petroleum Terminal,,,,,,36.241418,-95.736197
Port Of Muskogee,Bkep Materials Llc,Petroleum Terminal,,,,,,35.78588,-95.30257
Muskogee,Bkep Materials Llc,Petroleum Terminal,,,,,,35.742102,-95.304083
Fruita Co,Bkep Materials Llc,Petroleum Terminal,,,,,,39.159021,-108.718456
Anchorage,Adak Petroleum Llc,Petroleum Terminal,,,,,,51.880009,-176.657578
Cold Bay,Frosty Fuels Llc,Petroleum Terminal,,,,,,61.13985,-149.832589
Phoenix,Circle K Terminal Llc,Petroleum Terminal,,,,,,33.451222,-112.174819
Birmingham,Circle K Terminal Alabama Llc,Petroleum Terminal,,,,,,33.457978,-86.878339
Flint Hills Resources Lp-Waupun,Flint Hills Resources Lp,Petroleum Terminal,,,,,,43.63316,-88.734119
Flint Hills Resources Lp-Milwaukee,Flint Hills Resources Lp,Petroleum Terminal,,,,,,43.18741,-88.043931
Flint Hills Resources Lp-Madison,Flint Hills Resources Lp,Petroleum Terminal,,,,,,43.033211,-89.302839
Flint Hills Resources Lp-Juncti,Flint Hills Resources Lp,Petroleum Terminal,,,,,,44.596378,-90.917992
Ft Worth,Flint Hills Resources Lp,Petroleum Terminal,,,,,,32.81659,-97.099599
Flint Hills Resources Lp- Austin,Flint Hills Resources Lp,Petroleum Terminal,,,,,,30.32419,-97.629185
Flint Hills Resources Lp-Bastrop,Flint Hills Resources Lp,Petroleum Terminal,,,,,,30.109135,-97.41977
Flint Hills Resources Lp- Waco,Flint Hills Resources Lp,Petroleum Terminal,,,,,,31.567008,-97.102192
Flint Hills Resources Lp- San Antoni,Flint Hills Resources Lp,Petroleum Terminal,,,,,,29.456239,-98.528004
Algona,Flint Hill Resources Lp,Petroleum Terminal,,,,,,43.076751,-94.216778
Davenport,Flint Hills Resources Lp,Petroleum Terminal,,,,,,41.463473,-90.681284
Dubuque,Flint Hills Resources Lp,Petroleum Terminal,,,,,,42.508608,-90.653486
Marshall,Flint Hills Resources Lp,Petroleum Terminal,,,,,,44.461246,-95.788088
Savage,Flint Hill Resources Lp,Petroleum Terminal,,,,,,44.78023,-93.35302
St Paul,Flint Hill Resources Lp,Petroleum Terminal,,,,,,44.930356,-93.046224
West Fargo,Flint Hill Resources Lp,Petroleum Terminal,,,,,,46.882605,-96.899837
Omaha Ii,Flint Hills Resources Lp,Petroleum Terminal,,,,,,41.32195,-95.93484
Green Bay,Flint Hill Resources Lp,Petroleum Terminal,,,,,,44.540469,-88.013296
Stevens Point,Flint Hill Resources Lp,Petroleum Terminal,,,,,,44.511174,-89.579183
Mustang Ridge Fuels Trmnl,Flint Hills Resources Lp,Petroleum Terminal,,,,,,30.036869,-97.677724
San Antonio North,Flint Hills Resources Lp,Petroleum Terminal,,,,,,29.4265,-98.3932
Umore,Flint Hills Resources Lp,Petroleum Terminal,,,,,,44.76493,-93.039906
Taylor,Flint Hills Resources Lp,Petroleum Terminal,,,,,,30.610882,-97.480968
Delmita,Flint Hills Resources Lp,Petroleum Terminal,,,,,,27.82697,-97.19859
Wescott,Flint Hills Resources,Petroleum Terminal,,,,,,44.80094,-93.10606
Anniston,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,33.614755,-85.776136
Tampa,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,27.923438,-82.443644
Freeport,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,30.492396,-86.137663
Jonesboro,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,35.96153,-90.838189
Montgomery,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,32.353829,-86.38759
Sheffield,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,34.751268,-87.720829
Meridian,Murphy Oil Usa Inc,Petroleum Terminal,,,,,,32.350384,-88.745566
St Louis,American River Transp Co,Petroleum Terminal,,,,,,38.581651,-90.221619
S Portland,Gulf Oil Lp,Petroleum Terminal,,,,,,43.649621,-70.241542
Allentown,Lucknow - Highspire Terminal,Petroleum Terminal,,,,,,40.628727,-75.431172
Altoona,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,41.241015,-76.985584
Coraopolis,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.525586,-80.172573
Dupont,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,41.335476,-75.743434
Highspire,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.220106,-76.791511
Neville Island West,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.499221,-80.095137
Mechanicsburg,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.222732,-77.047527
Northumberland,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.9172,-76.7486
Sinking Spring,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.319136,-76.034195
Delmont,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.398103,-79.566074
Fullerton,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.644396,-75.482377
Neville Island East,Lucknow - Highspire Terminals,Petroleum Terminal,,,,,,40.499141,-80.085886
Seattle,Tlp Management Services Llc,Petroleum Terminal,,,,,,47.580494,-122.356488
Portland,Tlp Management Services Llc,Petroleum Terminal,,,,,,45.593562,-122.781863
Sound,Seaport Sound Terminal Llc,Petroleum Terminal,,,,,,47.277934,-122.385572
Baltimore,Pike Baltimore Terminals Llc,Petroleum Terminal,,,,,,39.240214,-76.568938
Kodiak,Petro Star Inc,Petroleum Terminal,,,,,,57.784586,-152.425567
Vpt,Petro Star Inc,Petroleum Terminal,,,,,,61.12911,-146.360505
Captain`S Bay,Petro Star Inc,Petroleum Terminal,,,,,,53.859425,-166.550647
Westward,Petro Star Inc,Petroleum Terminal,,,,,,53.869896,-166.540579
Ballyhoo,Petro Star Inc,Petroleum Terminal,,,,,,53.90608,-166.522739
Resoff,Petro Star Inc,Petroleum Terminal,,,,,,53.903729,-166.511163
Poa Terminal,Petro Star Inc,Petroleum Terminal,,,,,,61.21755,-149.858384
Fairbanks Terminal,Petro Star Inc,Petroleum Terminal,,,,,,64.74583,-147.35075
Tpsl Columbus,Saratoga Rp East Llc,Petroleum Terminal,,,,,,32.522616,-84.905191
Albany,Saratoga Rp East Llc,Petroleum Terminal,,,,,,31.549019,-84.199736
Phoenix,Pro Petroleum Inc,Petroleum Terminal,,,,,,33.443609,-112.15186
Lubbock,Pro Petroleum Inc,Petroleum Terminal,,,,,,33.610948,-101.880984
Las Vegas,Pro Petroleum Inc,Petroleum Terminal,,,,,,36.249542,-115.043216
Alexandria Terminal Co Llc,Alexandria Terminal Co Llc,Petroleum Terminal,,,,,,31.338535,-92.465096
Monroe,Monroe Terminal Company Llc,Petroleum Terminal,,,,,,32.408678,-92.105942
Pelican Refining Co,Asphalt Inc,Petroleum Terminal,,,,,,29.789744,-95.08603
Benton,Emulsicoat Of Southern Illinois Llc,Petroleum Terminal,,,,,,37.991706,-88.915787
Saint Elmo,Emulsicoat Of Southern Illinois Llc,Petroleum Terminal,,,,,,39.029074,-88.846258
Lake City,Associated Asphalt Lake City Llc,Petroleum Terminal,,,,,,30.221825,-82.651033
Gainsville,Associated Asphalt Gainsville Llc,Petroleum Terminal,,,,,,34.222309,-83.784376
Charlotte,Associated Asphalt Charlotte Llc,Petroleum Terminal,,,,,,35.126388,-80.939902
Bristol,Associated Asphalt Bristol Llc,Petroleum Terminal,,,,,,36.606363,-82.194709
Tampa,Associated Asphalt Tampa Llc,Petroleum Terminal,,,,,,27.922297,-82.396838
Martinsburg,Associated Asphalt Martinsburg Llc,Petroleum Terminal,,,,,,39.386621,-78.025982
Salisbury,Associated Asphalt Salisbury Llc,Petroleum Terminal,,,,,,35.686169,-80.510271
Greensboro,Associated Asphalt Greensboro Llc,Petroleum Terminal,,,,,,36.07559,-79.920274
Roanoke,Associated Asphalt Roanoke Llc,Petroleum Terminal,,,,,,37.270893,-79.987219
Inman,Associated Asphalt Inman Llc,Petroleum Terminal,,,,,,35.024571,-82.05935
Hopewell,Associated Asphalt Hopewell Llc,Petroleum Terminal,,,,,,37.311737,-77.271127
Owensboro River Terminal,Southern States Cooperative Inc,Petroleum Terminal,,,,,,37.791713,-87.06513
Canton,Ayers Oil Co,Petroleum Terminal,,,,,,40.13497,-91.51898
Portland,B&B Petroleum Inc,Petroleum Terminal,,,,,,41.570632,-72.645066
East Hartford,B&B Petroleum Inc,Petroleum Terminal,,,,,,41.776308,-72.638882
Casper,Equitable Oil Purchasing Co,Petroleum Terminal,,,,,,44.033916,-105.472172
Madison Terminal Oil Group,Us Venture Inc,Petroleum Terminal,,,,,,43.041323,-89.302822
Milwaukee North,Us Venture Inc,Petroleum Terminal,,,,,,43.190641,-88.043825
Milwaukee South,Us Venture Inc,Petroleum Terminal,,,,,,43.183492,-88.044048
Milwaukee Central,Us Venture Inc,Petroleum Terminal,,,,,,43.18898,-88.043879
Chippewa Falls Us Oil,Us Venture Inc,Petroleum Terminal,,,,,,44.896081,-91.415837
Green Bay Products,Us Venture Inc,Petroleum Terminal,,,,,,44.542675,-88.023617
Green Bay Buckeye,Us Venture Inc,Petroleum Terminal,,,,,,44.532342,-88.013163
Madison Northsouth,Us Venture Inc,Petroleum Terminal,,,,,,43.03997,-89.302429
Cheboygan Us Oil,Us Venture Inc,Petroleum Terminal,,,,,,45.647973,-84.469159
Green Bay Fox Terminal,Us Venture Inc,Petroleum Terminal,,,,,,44.528818,-88.013337
Madison Buckeye,Us Venture Inc,Petroleum Terminal,,,,,,43.013365,-89.287404
Jones Island,Us Venture Inc,Petroleum Terminal,,,,,,43.013821,-87.897551
Bettendorf,Us Venture Inc,Petroleum Terminal,,,,,,41.525285,-90.491501
Bryan,Us Venture Inc,Petroleum Terminal,,,,,,30.654164,-96.375512
Fort Worth,Us Venture Inc,Petroleum Terminal,,,,,,32.816743,-97.350086
Green Bay Quincy,Us Venture Inc,Petroleum Terminal,,,,,,44.530861,-87.995805
Houston,Us Venture Inc,Petroleum Terminal,,,,,,29.947566,-95.41685
Rogers City,Us Venture Inc,Petroleum Terminal,,,,,,45.415536,-83.802553
Milwaukee West,Us Venture Inc,Petroleum Terminal,,,,,,43.183347,-88.044051
Indianapolis,Us Venture Inc,Petroleum Terminal,,,,,,39.81438,-86.32712
Green Bay Hurlbut North,Us Venture Inc,Petroleum Terminal,,,,,,44.54384,-88.02307
Bylsby Green Bay Terminal,Us Venture Inc,Petroleum Terminal,,,,,,44.53763,-88.01823
Fort Worth South Terminal,Us Venture Inc,Petroleum Terminal,,,,,,32.788155,-97.326248
Melissa Terminal,Us Venture Inc,Petroleum Terminal,,,,,,33.30736,-96.51662
Spartanburg East,Us Venture Inc,Petroleum Terminal,,,,,,34.9323,-81.858354
Spartanburg West,Us Venture Inc,Petroleum Terminal,,,,,,34.971466,-81.937315
North Augusta West,Us Venture Inc,Petroleum Terminal,,,,,,33.596272,-81.953901
North Augusta East,Us Venture Inc,Petroleum Terminal,,,,,,33.68133,-81.984459
Montgomery,Us Venture Inc,Petroleum Terminal,,,,,,32.353116,-86.379399
Mt Prospect,Us Venture Inc,Petroleum Terminal,,,,,,42.027643,-87.959978
Rockford,Us Venture Inc,Petroleum Terminal,,,,,,42.260141,-89.179479
Meraux,Vrm,Petroleum Terminal,,,,,,29.93052,-89.943359
W Memphis,Premcor Refining Group Inc,Petroleum Terminal,,,,,,35.129876,-90.166171
Ark City,Premcor Refining Group Inc,Petroleum Terminal,,,,,,37.0619,-97.0381
Fannett,Premcor Refining Group Inc,Petroleum Terminal,,,,,,29.975,-94.058333
Hammond,Valero Terminaling & Distr Co,Petroleum Terminal,,,,,,41.639306,-87.503165
Blue Island,Valero Terminaling & Distr Co,Petroleum Terminal,,,,,,41.654939,-87.709797
Louisville,Valero Terminaling And Distr Co,Petroleum Terminal,,,,,,38.223445,-85.834283
Lexington,Valero Terminaling And Distr Co,Petroleum Terminal,,,,,,38.060903,-84.539734
Corpus Christi Tx Asphalt,Valero Terminaling & Dist Co,Petroleum Terminal,,,,,,27.81775,-97.482552
Houston Tx Asphalt,Valero Terminaling & Dist Co,Petroleum Terminal,,,,,,29.64581,-95.40679
St James Asphalt,Valero Terminaling & Dist Co,Petroleum Terminal,,,,,,30.098801,-90.918735
Taylor Terminal,V-Tex Logistics Llc,Petroleum Terminal,,,,,,30.606601,-97.469831
Hearne Terminal,V-Tex Logistics Llc,Petroleum Terminal,,,,,,30.859934,-95.574359
Grand Street,Bayside Fuel Oil Depot Corp,Petroleum Terminal,,,,,,40.714107,-73.932024
Smith Street,Bayside Fuel Oil Depot Corp,Petroleum Terminal,,,,,,40.673543,-73.998338
Benchmark Biodiesel,Benchmark Biodiesel Inc,Petroleum Terminal,,,,,,39.965769,-83.111327
Newington,Sea-3 Llc,Petroleum Terminal,,,,,,43.104722,-70.8025
Providence,Sea-3 Providence Llc,Petroleum Terminal,,,,,,41.791056,-71.384833
Bluewing One Llc,Bluewing One Llc,Petroleum Terminal,,,,,,25.963606,-97.382878
Bluewing Royal Brownsville,Bluewing Royal Llc,Petroleum Terminal,,,,,,25.960946,-97.380697
Choctaw,Boardwalk Louisiana Midstream Llc,Petroleum Terminal,,,,,,30.32473,-91.268162
Sulphur,Boardwalk Louisiana Midstream Llc,Petroleum Terminal,,,,,,30.241389,-93.411944
Bromley Terminal Ky,Bp Oil,Petroleum Terminal,,,,,,39.080422,-84.565869
Dubuque,Bp Products North America,Petroleum Terminal,,,,,,42.481714,-90.787228
Bp Lubes Baton Rouge,Bp Lubricants Usa Inc,Petroleum Terminal,,,,,,30.441154,-91.221193
Dillingham Tank Farm,Bristol Alliance Fuels Llc,Petroleum Terminal,,,,,,59.037494,-158.482561
Dillingham Downtown Tank Farm,Bristol Alliance Fuels Llc,Petroleum Terminal,,,,,,59.039252,-158.466741
Naknek Tank Farm,Bristol Alliance Fuels Llc,Petroleum Terminal,,,,,,58.746595,-156.937589
Stratton Ridge,Ineos Usa Llc,Petroleum Terminal,,,,,,29.055833,-95.346667
Oakmar,Oakmar Terminal Llc,Petroleum Terminal,,,,,,36.221566,-89.69892
Oakley Fuels Inc,Oakley Fuels Inc,Petroleum Terminal,,,,,,34.750334,-92.223027
St Louis North,Buckeye Terminals Llc,Petroleum Terminal,,,,,,38.680165,-90.19808
Argo Terminal,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.762281,-87.826356
Cincinnati,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.089043,-84.643848
Rockford,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.258161,-89.173528
Effingham,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.174982,-88.519907
Harristown,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.840779,-89.103956
Ferrysburg,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.084583,-86.22983
Lima South,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.708581,-84.133728
Dayton,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.787908,-84.158772
Muncie,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.277078,-85.365534
Cleveland,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.48766,-81.685153
Marshall,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.249834,-84.963787
Zionsville,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.92546,-86.252619
Columbus East,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.966873,-83.097326
Malvern,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.0405,-75.539104
Macungie South,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.51719,-75.538069
Hammond,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.609982,-87.465233
Brewerton,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.237779,-76.140517
Marcy,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.132259,-75.253387
Rochester North,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.130904,-77.656115
Utica,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.106975,-75.218518
Vestal,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.099763,-76.005025
Buffalo,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.865819,-78.831353
Rochester South,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.130902,-77.653955
Lima North,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.726272,-84.116395
Detroit,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.282755,-83.141406
Flint,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.06315,-83.673934
Niles,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.787193,-86.254726
Niles West,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.798668,-86.254566
Raceway,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.812352,-86.32709
Taylor East,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.255317,-83.274836
Woodhaven,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.139888,-83.232638
Wethersfield Terminal,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.718237,-72.64935
East Chicago Terminal,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.639264,-87.46729
Kankakee,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.1228,-87.865758
Opelousas,Buckeye Terminals Llc,Petroleum Terminal,,,,,,30.576767,-92.070009
Sugar Creek,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.11933,-94.444129
Granger,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.753562,-86.115233
River Rouge,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.275502,-83.12184
Greensburg,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.299245,-79.543159
Indianapolis,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.807975,-86.329418
Lorain,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.30576,-82.02082
Pittsburgh,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.506668,-80.149796
Granville,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.183,-88.044059
West Toledo,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.664799,-83.530259
Columbus South,Buckeye Terminals Llc,Petroleum Terminal,,,,,,39.960367,-83.092884
Louisville,Buckeye Terminals Llc,Petroleum Terminal,,,,,,38.235818,-85.830987
Bettendorf,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.52534,-90.489403
Cedar Rapids,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.783262,-91.634337
Des Moines,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.58979,-93.615659
Fairfax,Buckeye Terminals Llc,Petroleum Terminal,,,,,,38.848,-77.27557
Cuyahoga,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.433765,-81.654564
Richmond,Buckeye Terminals Llc,Petroleum Terminal,,,,,,37.503848,-77.430396
Council Bluff,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.217953,-95.833648
Spartanburg,Buckeye Terminals Llc,Petroleum Terminal,,,,,,34.923989,-81.865734
Belton,Buckeye Terminals Llc,Petroleum Terminal,,,,,,34.56241,-82.489429
Birmingham,Buckeye Terminals Llc,Petroleum Terminal,,,,,,33.477535,-86.852938
Canton,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.789488,-81.355799
Napoleon,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.167286,-84.260687
Montgomery,Buckeye Terminals Llc,Petroleum Terminal,,,,,,32.285488,-86.34974
Warren,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.200105,-80.73267
North Augusta,Buckeye Terminals Llc,Petroleum Terminal,,,,,,33.596579,-81.954249
Tampa South,Buckeye Terminals Llc,Petroleum Terminal,,,,,,27.932154,-82.442243
Dearborn,Buckeye Terminals Llc,Petroleum Terminal,,,,,,42.244675,-83.30817
Ottumwa,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.99878,-92.179119
Bangor - Ban1,Buckeye Terminals Llc,Petroleum Terminal,,,,,,44.781,-68.7803
Perth Amboy,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.534765,-74.262635
Roseton,Buckeye Terminals Llc,Petroleum Terminal,,,,,,41.564717,-73.979568
Ft Lauderdale,Buckeye Terminals Llc,Petroleum Terminal,,,,,,26.096764,-80.127173
Chesapeake,Buckeye Terminals Llc,Petroleum Terminal,,,,,,36.785022,-76.298135
Rochester West,Buckeye Terminals Llc,Petroleum Terminal,,,,,,43.164689,-77.679066
Charleston,Buckeye Terminals Llc,Petroleum Terminal,,,,,,32.888827,-79.972821
Raritan Bay,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.51386,-74.286969
Port Reading,Buckeye Terminals Llc,Petroleum Terminal,,,,,,40.564958,-74.25016
Jacksonville,Buckeye Terminals Llc,Petroleum Terminal,,,,,,30.416574,-81.595373
Tampa North,Buckeye Terminals Llc,Petroleum Terminal,,,,,,27.951847,-82.438092
